raw_tag	books	decision	canonical	parent	classification	confidence	status
Эзотерика	1401	genre	Эзотерика	Эзотерика	canonical_genre	high	resolved
Здоровье	779	thematic	Здоровье		thematic	medium	resolved
Философия	327	thematic	Философия		thematic	medium	resolved
Культурология	143	thematic	Культурология		thematic	medium	resolved
Иностранная проза	61	genre	Иностранная проза	Проза	canonical_genre	medium	resolved
Компьютерная литература	60	thematic	Компьютерная литература		thematic	medium	resolved
Экономика и бизнес	60	thematic	Экономика и бизнес		thematic	medium	resolved
sf-history	60	genre_code	Историческая фантастика	Фантастика	genre_code	high	resolved
Мелодрама	59	genre_code	Любовный роман	Любовные романы	genre_code	medium	resolved
fantasy-action	56	genre_code	Боевое фэнтези	Фантастика	genre_code	high	resolved
Иностранная проза	61	genre	Иностранная проза	Проза	canonical_genre	medium	resolved
Историческая литература	52	thematic	Историческая литература		thematic	medium	resolved
essay	50	genre	Эссе	Проза	canonical_genre	medium	resolved
буддизм	49	genre	Буддизм	Эзотерика	canonical_genre	medium	resolved
dragon_fantasy	48	genre	Фэнтези о драконах	Фантастика	genre	medium	resolved
vampire_book	45	genre	Книги о вампирах	Фантастика	genre	medium	resolved
Социальная психология	45	thematic	Социальная психология		thematic	medium	resolved
Короткие любовные истории	44	genre	Короткие любовные истории	Любовные романы	canonical_genre	medium	resolved
Исторические эпохи	41	thematic	Исторические эпохи		thematic	medium	resolved
Психология бизнеса	41	thematic	Психология бизнеса		thematic	medium	resolved
Эротика и любовь	187	genre	Эротика и любовь	Любовные романы	canonical_genre	medium	resolved
Любовь и эротика	152	genre	Любовь и эротика	Любовные романы	canonical_genre	medium	resolved
Любовные истории	145	genre	Любовные истории	Любовные романы	canonical_genre	medium	resolved
Любовная фантастика	70	genre	Любовная фантастика	Любовные романы	canonical_genre	medium	resolved
Приключения с животными	69	genre	Приключения с животными	Приключения	canonical_genre	medium	resolved
Современные детективы	68	genre	Современные детективы	Детективы и триллеры	canonical_genre	medium	resolved
Любовная история	65	genre	Любовная история	Любовные романы	canonical_genre	medium	resolved
Сказки и мифы	7	genre	Сказки и мифы	Детская литература	canonical_genre	low	resolved
Великие истории	11	genre	Великие истории	Прочее	canonical_genre	low	resolved
action	11	genre_code	Экшн	Фантастика	genre_code	low	resolved
